airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,2021-10-25,0100 - 0200,4,12,5,13,4,13,99,0,0,0,0,0,0,5,104,1,12
ORD,Terminal 5,2021-10-25,0500 - 0600,5,11,7,11,6,11,63,0,0,0,0,0,0,0,63,1,7
ORD,Terminal 5,2021-10-25,0700 - 0800,9,20,10,19,10,20,75,27,0,0,0,0,0,4,106,1,9
ORD,Terminal 5,2021-10-25,0800 - 0900,6,31,18,34,12,34,132,54,15,0,0,0,0,6,207,2,12
ORD,Terminal 5,2021-10-25,1100 - 1200,6,23,13,33,7,33,272,54,2,0,0,0,0,7,335,3,15
ORD,Terminal 5,2021-10-25,1200 - 1300,13,35,14,35,13,35,459,388,12,0,0,0,0,26,885,6,21
ORD,Terminal 5,2021-10-25,1300 - 1400,7,31,9,31,7,31,426,55,4,0,0,0,0,15,500,4,18
ORD,Terminal 5,2021-10-25,1400 - 1500,14,35,15,35,15,35,292,240,24,0,0,0,0,17,573,4,22
ORD,Terminal 5,2021-10-25,1500 - 1600,22,98,29,92,23,98,389,322,192,78,32,2,0,29,1044,6,19
ORD,Terminal 5,2021-10-25,1600 - 1700,6,18,8,30,6,30,450,19,0,0,0,0,0,16,485,4,17
ORD,Terminal 5,2021-10-25,1700 - 1800,14,38,16,38,15,38,312,233,41,0,0,0,0,20,606,4,20
ORD,Terminal 5,2021-10-25,1800 - 1900,8,16,6,16,7,16,205,5,0,0,0,0,0,9,219,1,15
ORD,Terminal 5,2021-10-25,1900 - 2000,8,27,13,27,9,27,483,82,0,0,0,0,0,13,578,4,12
ORD,Terminal 5,2021-10-25,2000 - 2100,2,11,2,11,2,11,200,0,0,0,0,0,0,4,204,2,13
ORD,Terminal 5,2021-10-25,2200 - 2300,6,20,9,20,7,20,287,20,0,0,0,0,0,10,317,2,13
ORD,Terminal 5,2021-10-25,2300 - 0000,8,17,9,18,8,18,141,10,0,0,0,0,0,1,152,1,12
ORD,Terminal 5,2021-10-26,0000 - 0100,14,29,15,29,15,29,260,272,0,0,0,0,0,16,548,4,13
ORD,Terminal 5,2021-10-26,0100 - 0200,11,26,13,26,12,26,62,38,0,0,0,0,0,3,103,1,6
ORD,Terminal 5,2021-10-26,0400 - 0500,30,59,28,66,29,66,28,29,27,25,1,0,0,4,114,1,3
ORD,Terminal 5,2021-10-26,0500 - 0600,14,26,17,26,15,26,50,91,0,0,0,0,0,5,146,2,12
ORD,Terminal 5,2021-10-26,0800 - 0900,15,46,23,50,20,50,142,140,64,10,0,0,0,14,370,3,19
ORD,Terminal 5,2021-10-26,0900 - 1000,26,55,27,60,26,60,37,148,78,10,0,0,0,8,281,1,18
ORD,Terminal 5,2021-10-26,1100 - 1200,9,42,20,51,14,51,242,109,43,3,0,0,0,12,409,3,16
ORD,Terminal 5,2021-10-26,1200 - 1300,13,34,21,44,14,44,232,238,21,0,0,0,0,12,503,5,17
ORD,Terminal 5,2021-10-26,1300 - 1400,7,20,7,19,7,20,261,21,0,0,0,0,0,9,291,3,16
ORD,Terminal 5,2021-10-26,1400 - 1500,6,29,13,34,8,34,497,110,2,0,0,0,0,23,632,6,22
